ID_RANK,Country,Happiness_score,Whisker_high,Whisker_low,Dystopia,GDP_pc,Social_support,Healthy_life_expectancy,freedom_to_choose,Generosity, Perceptions_of_corruption,,
47,Croatia,6125,6229,6022,1884,1705,1183,709,535,109,0,,
146,Afghanistan,2404,2469,2339,1263,758,0,289,0,89,5,,586.1712329
28,Romania,6477,6575,6379,2446,1719,1006,655,605,39,6,,
67,Bosnia and Herzegovina,5768,5877,5659,1869,1468,1068,665,448,244,6,,
98,Ukraine,5084,5190,4978,1331,1411,1081,583,473,188,17,,
141,Lesotho*,3512,3748,3276,1312,839,848,0,419,76,18,,
85,Bulgaria,5371,5485,5257,1235,1625,1163,640,563,123,21,,
64,Kyrgyzstan,5828,5916,5741,2087,1069,1109,638,693,208,25,,
35,Slovakia,6391,6475,6306,2094,1736,1232,707,479,118,25,,
61,Thailand,5891,5994,5788,1600,1535,1096,697,617,321,26,,
62,Moldova,5857,5948,5766,2142,1417,1008,597,561,102,28,,
90,Albania,5199,5321,5076,1718,1439,646,719,511,138,28,,
120,Tunisia,4516,4629,4403,1540,1350,596,656,316,29,29,,
89,North Macedonia,5199,5303,5095,1461,1505,863,637,488,215,31,,
78,Turkmenistan*,5474,5578,5371,1160,1484,1319,516,649,314,32,,
145,Lebanon,2955,3049,2862,216,1392,498,631,103,82,34,,
32,Kosovo,6455,6571,6339,2631,1362,949,569,599,309,35,,
74,Peru,5559,5679,5439,1890,1397,865,735,545,90,37,,
118,Nigeria,4552,4651,4453,1784,1079,732,300,444,175,38,,
56,Portugal,6016,6122,5911,1691,1760,1078,777,655,16,39,,
123,Mali,4479,4611,4347,2373,792,483,311,350,128,42,,
91,South Africa,5194,5315,5073,1742,1425,1088,361,442,89,46,,
107,Iraq,4941,5099,4783,1894,1289,682,554,328,147,46,,
87,Indonesia,5240,5341,5139,1300,1382,883,539,620,468,47,,
18,Czechia,6920,7029,6811,2263,1815,1260,715,660,158,48,,
37,Panama,6309,6464,6154,2086,1715,1107,709,592,49,51,,
63,Jamaica,5850,6023,5676,2164,1296,1045,646,567,80,53,,
140,Sierra Leone,3574,3732,3416,1556,686,416,273,387,202,55,,
111,Ghana,4872,4999,4745,1972,1112,595,409,500,230,56,,
73,Paraguay,5578,5689,5467,1555,1409,1130,624,629,171,59,,
31,Italy,6467,6570,6363,2222,1834,1052,801,412,85,59,,
68,Mongolia,5761,5845,5676,1999,1393,1197,467,398,247,59,,
41,Cyprus,6221,6320,6122,2044,1815,909,819,448,123,62,,
71,Bolivia,5600,5709,5491,2107,1256,880,555,627,112,64,,
51,Hungary,6086,6187,5985,1812,1748,1233,668,485,78,64,,
117,Uganda,4603,4747,4459,1842,777,875,418,402,222,66,,
114,Cambodia,4640,4765,4516,1410,1019,732,505,740,166,68,,
44,Chile,6172,6262,6082,2040,1651,1080,748,460,124,69,,
124,Namibia,4459,4593,4326,1414,1292,877,354,384,67,71,,
102,Cameroon,5048,5188,4907,2469,968,672,317,397,152,74,,
55,Honduras,6022,6189,5855,2611,1111,885,555,582,202,76,,
66,Colombia,5781,5903,5659,1971,1452,929,720,545,87,77,,
34,Lithuania,6446,6535,6356,2153,1804,1204,659,496,53,77,,
75,Montenegro,5547,5681,5413,1619,1573,1023,659,460,135,77,,
130,Chad*,4251,4503,3999,2419,662,506,225,180,182,77,,
127,Sri Lanka,4362,4487,4237,595,1415,934,660,529,150,79,,
122,Palestinian Territories*,4483,4665,4300,1368,1148,957,521,336,73,79,,
97,Liberia*,5122,5428,4815,2844,636,670,309,405,178,80,,
80,Russia,5459,5525,5392,1494,1685,1095,586,401,117,80,,
